pmid,model,coef,hr,pvalue,qvalue_global
34644219,m1_clinical,-0.6330647926454513,0.5309620163239062,3.879986248840131e-05,0.0010703410341627948
34644219,m1_plus_tumor,-0.6290106352254772,0.5331189893217844,4.631062043615549e-05,0.0012349498782974798
34644219,m1_plus_normal,-0.6931460357771779,0.5000005723917114,5.304052509982609e-06,0.00026520262549913044
34644219,m1_plus_both,-0.6910663749007273,0.5010414860188287,6.312461367565784e-06,0.00026578784705540143
34706720,m1_clinical,-0.12031082070726674,0.8866448063177647,0.27275704551389446,0.4936779104323882
34706720,m1_plus_tumor,-0.17315969616458687,0.8410032991187814,0.14659978872983534,0.3500890477130396
34706720,m1_plus_normal,-0.3953793814070076,0.6734245060430429,0.010386074086521181,0.06810540384604054
34706720,m1_plus_both,-0.5274601280311646,0.5901018510804232,0.0016392072798236844,0.01795433662327639
34803395,m1_clinical,-0.3444009816303086,0.7086447175575699,0.0183110685266281,0.0983144618879361
34803395,m1_plus_tumor,-0.33966404529078825,0.7120094855260979,0.022507737972245347,0.10979384376705048
34803395,m1_plus_normal,-0.6379332250106282,0.5283833457937127,0.00021310557505715096,0.004191445713438467
34803395,m1_plus_both,-0.6859407600206487,0.5036162246374483,0.0001605439681409189,0.003471220932776625
34849009,m1_clinical,-0.131908699342484,0.8764210092410495,0.26280571702407074,0.4844345014268585
34849009,m1_plus_tumor,-0.19350280336850603,0.8240675260269235,0.13354863379939974,0.3350381806470252
34849009,m1_plus_normal,-0.4599509079503582,0.6313146372757078,0.007477514027422417,0.051569062258085635
34849009,m1_plus_both,-0.6369299041299916,0.5289137498757792,0.000801258525802579,0.011051841735207986
34901008,m1_clinical,0.19983614099187516,1.2212026367119955,0.2907061793370927,0.5100742812344891
34901008,m1_plus_tumor,0.18683580337484482,1.2054293413698114,0.32959915318941413,0.5496320107047974
34901008,m1_plus_normal,0.14847111266509308,1.160059286269286,0.4910180848627216,0.6923404159042359
34901008,m1_plus_both,0.13686489544776914,1.1466732172831,0.5300885817970853,0.7236704188356112
35023971,m1_clinical,-0.2950757627282396,0.7444751818583307,0.11220550251701901,0.30399060368807523
35023971,m1_plus_tumor,-0.34912622147609107,0.7053041001267034,0.06875083029001491,0.22267475397575678
35023971,m1_plus_normal,-0.4201925717210044,0.6569203033603213,0.03476009542129879,0.14713267903195257
35023971,m1_plus_both,-0.48412810482375623,0.6162342542750746,0.01957036296204142,0.10161420093004753
35027921,m1_clinical,0.3003932983664663,1.3503898092541844,0.25483804130644355,0.47411728615152293
