"","Normal_urothelial","Myeloid","Tumor_epithelial","NK_cell","B_plasma","Endothelial","T_cell","Myofibroblast","Mast_cell","Fibroblast"
"TCGA-CF-A3MF-01A-12R-A21D-07",0.881400704950791,1.78493309636327e-06,3.47309241359755e-06,9.57401591634186e-07,1.51772046322202e-06,0.0483380978108576,3.30427797918648e-06,0.0685848264829743,0.000130715470329269,0.00153461785950474
"TCGA-CF-A3MG-01A-11R-A20F-07",0.909841373518737,8.01663137280988e-06,1.8708322691676e-06,5.91497678150893e-07,1.24595179803022e-06,0.0616962857615698,2.34940282093996e-06,0.00666327245008184,1.6619813347437e-05,0.0217683741403237
"TCGA-CF-A3MH-01A-11R-A20F-07",0.829390761435445,0.00321133679256036,1.59573734052485e-05,7.44951728794455e-07,1.31437420971699e-06,0.101647994056156,5.46640862692508e-06,0.0398548295827742,0.000113758597881689,0.0257578364272114
"TCGA-CF-A3MI-01A-11R-A20F-07",0.8218030705897,0.00280430667917403,3.91501369028296e-05,5.3104518779041e-06,4.99200176943378e-06,0.104847602186053,0.000394654700619263,0.0676029262823566,0.000880786082134058,0.00161720088941326
"TCGA-CF-A47S-01A-11R-A23W-07",0.792655673684664,0.0260840771504371,0.0542708939053064,1.17041462757395e-06,1.92485217352157e-06,0.091920605309788,4.70831452712921e-06,0.0225764870339585,2.54920715042421e-05,0.0124589672630132
"TCGA-CF-A47T-01A-11R-A23W-07",0.598305769721644,1.41501776806127e-06,0.117513716828125,7.40647562879821e-07,2.41073926634762e-06,0.0442679053971082,0.176169490238175,0.0435124591625175,9.91578031008667e-05,0.0201269344447324
"TCGA-CF-A47V-01A-11R-A23W-07",0.69999819479656,0.00717079142725725,1.10656755740959e-05,1.18179866967539e-06,1.83770866827157e-06,0.200039677975705,1.44609335179323e-06,0.073172470739787,0.000502125768603294,0.0191012080158235
"TCGA-CF-A47W-01A-11R-A23W-07",0.552327978359364,1.99930038451871e-06,0.310679640910667,6.38854553847051e-07,1.1856195122655e-06,0.0475086754471351,0.0564754687219855,0.0329416655961934,6.08752775293626e-05,1.87191267515126e-06
"TCGA-CF-A47X-01A-31R-A23W-07",0.859866094018748,2.2164743617714e-06,1.63369941894809e-06,6.08170081883476e-07,1.59538699729334e-06,0.125978210301256,4.78174723207164e-05,0.00868774109587694,0.000130097313525443,0.00528398606741301
"TCGA-CF-A47Y-01A-11R-A23W-07",0.571056831425717,2.51911838127935e-06,0.288994155534949,7.09989809240372e-07,3.46204805559309e-06,0.105751038407768,2.57374734033186e-06,0.0309255536458438,4.4421592156857e-05,0.00321873448997909
"TCGA-CF-A5U8-01A-11R-A28M-07",0.734977410042612,2.3339334717823e-06,0.163389384895001,5.26913096921261e-07,3.09410713016671e-06,0.0861965892890563,0.000608940374423641,0.0118468351560255,9.32378880749258e-07,0.00297395291030275
"TCGA-CF-A5UA-01A-11R-A28M-07",0.752437953554356,0.000306588439759457,0.00810898402404983,6.86782698591719e-07,1.77603472389638e-06,0.121926857438889,0.0527114980468948,0.0601524121681958,5.81483730005492e-05,0.00429509513743135
"TCGA-CF-A7I0-01A-22R-A352-07",0.70805160226792,0.00464849449125561,2.92890928025971e-06,9.27057974905914e-07,1.67000708723362e-06,0.102061442709593,0.0389293960567421,0.107924897558451,0.000841119241019084,0.0375375217006772
"TCGA-CF-A8HX-01A-11R-A36F-07",0.732065105351692,0.00173261831321738,0.016932609853094,1.14366142676502e-06,1.04285586018955e-05,0.158850280258883,0.00709884912293418,0.0777342407606099,1.56482584182324e-05,0.0055590758611238
"TCGA-CF-A8HY-01A-11R-A36F-07",0.576212202931248,2.96848275909731e-06,0.15005154198004,0.0382449802699159,2.28448979415109e-06,0.108661374462806,0.0801078212212286,0.0284079463014846,0.000221781360657149,0.0180870985000662
"TCGA-CF-A9FF-01A-11R-A38B-07",0.824634841082402,0.00247336583044628,1.37481048940341e-06,7.70917655720113e-07,0.00104456337876828,0.0633642501752299,2.11265126209887e-06,0.0847360459994284,0.00065050933641565,0.0230921658179019
"TCGA-CF-A9FH-01A-11R-A38B-07",0.756377154822205,0.041557891196866,3.40702902231043e-06,8.56365864137626e-07,1.65220745750681e-06,0.178178105145448,3.00164820561526e-06,0.023856684730959,1.10659362837803e-05,1.01809176881901e-05
"TCGA-CF-A9FL-01A-11R-A38B-07",0.729214312674896,0.0147868158048755,3.40215834275684e-06,9.14629276669677e-07,2.12306094420347e-06,0.125211217973405,1.60903696620505e-05,0.0777725567032753,0.00019031652613903,0.0528022500991828
