"","Normal_urothelial","Myeloid","Tumor_epithelial","NK_cell","B_plasma","Endothelial","T_cell","Myofibroblast","Fibroblast"
"TCGA-BT-A20V-01A-11R-A14Y-07",0.000340596551594358,0.00733336384851818,0.392875121539022,0.000196815801385176,0,0.0803655730627727,0.461628762115024,0.00121435903341934,0.0560454080482649
"TCGA-BT-A20W-01A-21R-A14Y-07",0.152364866492924,0,0.154149605970046,0,0,0.245567923186516,0.226732818562636,0.0231097147231795,0.198075071064697
"TCGA-BT-A20X-01A-11R-A16R-07",0,0,0.120063078041891,0,0,0.259174759774465,0.208035596709616,0.0487285187411504,0.363998046732877
"TCGA-BT-A2LA-01A-11R-A18C-07",0,0,0,0,0,0.0744299407548569,0.71128874895766,0.0217686414150139,0.192512668872469
"TCGA-BT-A2LB-01A-11R-A18C-07",0.22029894377468,0.0487666115235275,0,0,0,0.279842207192602,0.0121663185430479,0.131623064149603,0.307302854816539
"TCGA-BT-A2LD-01A-12R-A20F-07",0.154612743053936,0.0517018117653713,0.00197225471593682,0,0,0.216840893483251,0.0726137570183506,0.144025399002807,0.358233140960347
"TCGA-BT-A3PH-01A-11R-A220-07",0.807037341880754,0,0,0,0,0.0258700269828277,0,0.053592486766593,0.113500144369826
"TCGA-BT-A3PJ-01A-21R-A220-07",0.0109454179746376,0.285285399526039,0,0.0421532956432486,0,0.103149087886644,0.224974179174339,0.0633016013549995,0.270191018440093
"TCGA-BT-A3PK-01A-21R-A220-07",0.0179813643150011,0.108874217612345,0.0306348067246469,0,0,0.308429998037094,0.0250784761057178,0.113271394319055,0.39572974288614
"TCGA-BT-A42C-01A-11R-A23N-07",0.457816758564191,0.0160263986954254,0.328025124136563,0,0,0.0865836761284832,0,0,0.111548042475337
"TCGA-BT-A42E-01A-11R-A23W-07",0,0.202615906179366,0.200012428653422,0.0259250239392106,0,0.291435117494555,0.0641648933348119,0,0.215846630398635
"TCGA-BT-A42F-01A-11R-A23W-07",0,0.211949157859548,0.304148733724234,0,0,0.205771586572751,0.178360460064109,0.00104661261997014,0.098723449159388
